week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 4, 2020
                ";67;Failing;-2;Into The Unknown;Idina Menzel & AURORA;65;46;5
"
                January 4, 2020
                ";68;Failing;-8;VIBEZ;DaBaby;60;21;13
"
                January 4, 2020
                ";69;New;-;Happy Xmas (War Is Over);John Legend;-;69;1
"
                January 4, 2020
                ";70;Steady;-;Heart On Ice;Rod Wave;70;54;7
"
                January 4, 2020
                ";71;Failing;-3;What If I Never Get Over You;Lady Antebellum;68;47;18
"
                January 4, 2020
                ";72;Failing;-9;Blinding Lights;The Weeknd;63;11;4
"
                January 4, 2020
                ";73;Failing;-7;Ridin' Roads;Dustin Lynch;66;66;8
"
                January 4, 2020
                ";74;Failing;-3;Camelot;NLE Choppa;71;37;15
"
                January 4, 2020
                ";75;Failing;-3;Heartache Medication;Jon Pardi;72;67;13
"
                January 4, 2020
                ";76;Failing;-7;Start Wit Me;Roddy Ricch & Gunna;69;58;6
"
                January 4, 2020
                ";77;Failing;-1;Take What You Want;Post Malone Featuring Ozzy Osbourne & Travis Scott;76;8;16
"
                January 4, 2020
                ";78;Failing;-1;Leave Em Alone;Layton Greene, Lil Baby, City Girls & PnB Rock;77;60;12
"
                January 4, 2020
                ";79;Failing;-4;Hate Me;Ellie Goulding & Juice WRLD;75;56;20
"
                January 4, 2020
                ";80;Rising;+1;Kinfolks;Sam Hunt;81;62;11
"
                January 4, 2020
                ";81;Failing;-3;Let Me Know (I Wonder Why Freestyle);Juice WRLD;78;78;2
"
                January 4, 2020
                ";82;Failing;-9;Remember You Young;Thomas Rhett;73;53;15
"
                January 4, 2020
                ";83;Failing;-9;Death;Trippie Redd Featuring DaBaby;74;59;6
"
                January 4, 2020
                ";84;Rising;+7;223's;YNW Melly & 9lokknine;91;34;16
"
                January 4, 2020
                ";85;New;-;Slide;H.E.R. Featuring YG;-;85;1
"
                January 4, 2020
                ";86;Rising;+3;RITMO (Bad Boys For Life);The Black Eyed Peas X J Balvin;89;86;5
"
                January 4, 2020
                ";87;Failing;-33;Watermelon Sugar;Harry Styles;54;54;5
"
                January 4, 2020
                ";88;Rising;+8;Homesick;Kane Brown;96;88;6
"
                January 4, 2020
                ";89;Failing;-1;Slow Dancing In The Dark;Joji;88;69;12
"
                January 4, 2020
                ";90;Rising;+7;Easy;DaniLeigh Featuring Chris Brown;97;88;8
"
                January 4, 2020
                ";91;Failing;-6;Vete;Bad Bunny;85;33;5
"
                January 4, 2020
                ";92;Rising;+1;Baby Sitter;DaBaby Featuring Offset;93;59;20
"
                January 4, 2020
                ";93;Failing;-11;Nice To Meet Ya;Niall Horan;82;63;11
"
                January 4, 2020
                ";94;Rising;+1;Yellow Hearts;Ant Saunders;95;81;7
"
                January 4, 2020
                ";95;Failing;-15;Tip Toe;Roddy Ricch Featuring A Boogie Wit da Hoodie;80;73;4
"
                January 4, 2020
                ";96;Failing;-2;Candy;Doja Cat;94;86;5
"
                January 4, 2020
                ";97;Failing;-5;BEST ON EARTH;Russ & BIA;92;92;3
"
                January 4, 2020
                ";98;Re-Enter;-;Tusa;Karol G & Nicki Minaj;-;78;4
"
                January 4, 2020
                ";99;Failing;-1;Enemies;Post Malone Featuring DaBaby;98;16;16
"
                January 4, 2020
                ";100;Re-Enter;-;South Of The Border;Ed Sheeran Featuring Camila Cabello & Cardi B;-;53;3
"
                January 11, 2020
                ";1;Rising;+4;Circles;Post Malone;5;1;18
"
                January 11, 2020
                ";2;Rising;+7;Memories;Maroon 5;9;2;15
"
                January 11, 2020
                ";3;Rising;+10;The Box;Roddy Ricch;13;3;4
"
                January 11, 2020
                ";4;Rising;+4;Someone You Loved;Lewis Capaldi;8;1;34
"
                January 11, 2020
                ";5;Rising;+1;Roxanne;Arizona Zervas;6;4;9
"
                January 11, 2020
                ";6;Rising;+4;Good As Hell;Lizzo;10;3;19
"
                January 11, 2020
                ";7;Rising;+7;Dance Monkey;Tones And I;14;7;13
"
                January 11, 2020
                ";8;Rising;+30;HIGHEST IN THE ROOM;Travis Scott;38;1;13
"
                January 11, 2020
                ";9;Rising;+8;10,000 Hours;Dan + Shay & Justin Bieber;17;4;13
"
                January 11, 2020
                ";10;Rising;+8;Lose You To Love Me;Selena Gomez;18;1;11
"
                January 11, 2020
                ";11;Rising;+15;Senorita;Shawn Mendes & Camila Cabello;26;1;28
"
                January 11, 2020
                ";12;Rising;+7;Ballin';Mustard & Roddy Ricch;19;12;24
"
                January 11, 2020
                ";13;Rising;+7;BOP;DaBaby;20;11;14
"
                January 11, 2020
                ";14;Rising;+9;Bad Guy;Billie Eilish;23;1;40
"
                January 11, 2020
                ";15;Rising;+19;Old Town Road;Lil Nas X Featuring Billy Ray Cyrus;34;1;44
"
                January 11, 2020
                ";16;Rising;+9;No Guidance;Chris Brown Featuring Drake;25;5;30
"
                January 11, 2020
                ";17;Rising;+13;Panini;Lil Nas X;30;5;28
"
                January 11, 2020
                ";18;Rising;+17;Truth Hurts;Lizzo;35;1;35
"
                January 11, 2020
                ";19;Rising;+27;Trampoline;SHAED;46;13;31
"
                January 11, 2020
                ";20;Rising;+19;Heartless;The Weeknd;39;1;6
"
                January 11, 2020
                ";21;Rising;+31;Don't Start Now;Dua Lipa;52;21;9
"
                January 11, 2020
                ";22;Rising;+5;Bandit;Juice WRLD & YoungBoy Never Broke Again;27;10;13
"
                January 11, 2020
                ";23;Rising;+18;Everything I Wanted;Billie Eilish;41;8;8
"
                January 11, 2020
                ";24;Rising;+9;Hot;Young Thug Featuring Gunna;33;11;20
"
                January 11, 2020
                ";25;Re-Enter;-;Only Human;Jonas Brothers;-;18;28
"
                January 11, 2020
                ";26;Rising;+28;One Man Band;Old Dominion;54;20;19
"
                January 11, 2020
                ";27;Rising;+20;Woah;Lil Baby;47;16;8
"
                January 11, 2020
                ";28;Re-Enter;-;I Don't Care;Ed Sheeran & Justin Bieber;-;2;31
"
                January 11, 2020
                ";29;Re-Enter;-;Sucker;Jonas Brothers;-;1;39
"
                January 11, 2020
                ";30;Rising;+29;Even Though I'm Leaving;Luke Combs;59;11;18
"
                January 11, 2020
                ";31;Rising;+20;Falling;Trevor Daniel;51;31;7
"
                January 11, 2020
                ";32;Rising;+23;Hot Girl Bummer;blackbear;55;32;16
"
                January 11, 2020
                ";33;Rising;+17;Ran$om;Lil Tecca;50;4;31
"
                January 11, 2020
                ";34;Rising;+23;Lover;Taylor Swift;57;10;20
"
                January 11, 2020
                ";35;Rising;+18;Adore You;Harry Styles;53;24;4
"
                January 11, 2020
                ";36;Rising;+28;The Bones;Maren Morris;64;36;15
"
                January 11, 2020
                ";37;Rising;+24;Graveyard;Halsey;61;34;16
"
                January 11, 2020
                ";38;New;-;Out West;JACKBOYS Featuring Young Thug;-;38;1
"
                January 11, 2020
                ";39;Rising;+19;On Chill;Wale Featuring Jeremih;58;22;21
"
                January 11, 2020
                ";40;Re-Enter;-;Talk;Khalid;-;3;44
"
                January 11, 2020
                ";41;Rising;+15;Suicidal;YNW Melly & Juice WRLD;56;41;6
"
                January 11, 2020
                ";42;Re-Enter;-;Beautiful People;Ed Sheeran Featuring Khalid;-;13;25
"
                January 11, 2020
                ";43;Re-Enter;-;Suge;DaBaby;-;7;36
"
                January 11, 2020
                ";44;Rising;+4;Futsal Shuffle 2020;Lil Uzi Vert;48;5;3
"
                January 11, 2020
                ";45;Rising;+18;Juicy;Doja Cat & Tyga;63;45;10
"
                January 11, 2020
                ";46;Rising;+14;No Idea;Don Toliver;60;43;5
"
                January 11, 2020
                ";47;Re-Enter;-;Baby;Lil Baby & DaBaby;-;21;21
"
                January 11, 2020
                ";48;New;-;GANG GANG;JACKBOYS & Sheck Wes;-;48;1
"
                January 11, 2020
                ";49;Rising;+22;What If I Never Get Over You;Lady Antebellum;71;47;19
"
                January 11, 2020
                ";50;Rising;+12;My Oh My;Camila Cabello Featuring DaBaby;62;50;4
"
                January 11, 2020
                ";51;Rising;+22;Ridin' Roads;Dustin Lynch;73;51;9
"
                January 11, 2020
                ";52;New;-;HAD ENOUGH;Don Toliver Featuring Quavo & Offset;-;52;1
"
                January 11, 2020
                ";53;Rising;+13;Heat;Chris Brown Featuring Gunna;66;36;18
"
                January 11, 2020
                ";54;Rising;+11;Playing Games;Summer Walker;65;16;18
"
                January 11, 2020
                ";55;Rising;+12;Into The Unknown;Idina Menzel & AURORA;67;46;6
"
                January 11, 2020
                ";56;New;-;WHAT TO DO?;JACKBOYS Featuring Don Toliver;-;56;1
"
                January 11, 2020
                ";57;Rising;+11;VIBEZ;DaBaby;68;21;14
"
                January 11, 2020
                ";58;Rising;+17;Heartache Medication;Jon Pardi;75;58;14
"
                January 11, 2020
                ";59;Rising;+13;Blinding Lights;The Weeknd;72;11;5
"
                January 11, 2020
                ";60;Rising;+20;Kinfolks;Sam Hunt;80;60;12
"
                January 11, 2020
                ";61;Rising;+21;Remember You Young;Thomas Rhett;82;53;16
"
                January 11, 2020
                ";62;Rising;+8;Heart On Ice;Rod Wave;70;54;8
"
                January 11, 2020
                ";63;Rising;+14;Take What You Want;Post Malone Featuring Ozzy Osbourne & Travis Scott;77;8;17
"
                January 11, 2020
                ";64;Rising;+24;Homesick;Kane Brown;88;64;7
"
                January 11, 2020
                ";65;Rising;+9;Camelot;NLE Choppa;74;37;16
"
                January 11, 2020
                ";66;Rising;+20;RITMO (Bad Boys For Life);The Black Eyed Peas X J Balvin;86;66;6
"
                January 11, 2020
                ";67;Rising;+11;Leave Em Alone;Layton Greene, Lil Baby, City Girls & PnB Rock;78;60;13
"
                January 11, 2020
                ";68;Rising;+8;Start Wit Me;Roddy Ricch & Gunna;76;58;7
"
                January 11, 2020
                ";69;New;-;GATTI;JACKBOYS, Pop Smoke & Travis Scott;-;69;1
"
                January 11, 2020
                ";70;New;-;High Fashion;Roddy Ricch Featuring Mustard;-;70;1
"
                January 11, 2020
                ";71;Re-Enter;-;TOES;DaBaby Featuring Lil Baby & Moneybagg Yo;-;28;5
"
                January 11, 2020
                ";72;Rising;+28;South Of The Border;Ed Sheeran Featuring Camila Cabello & Cardi B;100;53;4
"
                January 11, 2020
                ";73;Rising;+12;Slide;H.E.R. Featuring YG;85;73;2
"
                January 11, 2020
                ";74;New;-;I Hope;Gabby Barrett;-;74;1
"
                January 11, 2020
                ";75;Rising;+18;Nice To Meet Ya;Niall Horan;93;63;12
"
                January 11, 2020
                ";76;Rising;+22;Tusa;Karol G & Nicki Minaj;98;76;5
"
                January 11, 2020
                ";77;Re-Enter;-;We Back;Jason Aldean;-;77;5
"
                January 11, 2020
                ";78;Rising;+6;223's;YNW Melly & 9lokknine;84;34;17
"
                January 11, 2020
                ";79;Rising;+11;Easy;DaniLeigh Featuring Chris Brown;90;79;9
"
                January 11, 2020
                ";80;Rising;+9;Slow Dancing In The Dark;Joji;89;69;13
"
                January 11, 2020
                ";81;Rising;+16;BEST ON EARTH;Russ & BIA;97;81;4
"
                January 11, 2020
                ";82;Rising;+5;Watermelon Sugar;Harry Styles;87;54;6
"
                January 11, 2020
                ";83;Rising;+8;Vete;Bad Bunny;91;33;6
"
                January 11, 2020
                ";84;New;-;Make Me Want To;Jimmie Allen;-;84;1
"
                January 11, 2020
                ";85;Rising;+14;Enemies;Post Malone Featuring DaBaby;99;16;17
"
                January 11, 2020
                ";86;Re-Enter;-;What She Wants Tonight;Luke Bryan;-;86;2
"
                January 11, 2020
                ";87;Re-Enter;-;homecoming queen?;Kelsea Ballerini;-;82;4
"
                January 11, 2020
                ";88;New;-;More Hearts Than Mine;Ingrid Andress;-;88;1
"
                January 11, 2020
                ";89;Rising;+6;Tip Toe;Roddy Ricch Featuring A Boogie Wit da Hoodie;95;73;5
"
                January 11, 2020
                ";90;New;-;I Wish Grandpas Never Died;Riley Green;-;90;1
"
                January 11, 2020
                ";91;Failing;-8;Death;Trippie Redd Featuring DaBaby;83;59;7
"
                January 11, 2020
                ";92;Rising;+2;Yellow Hearts;Ant Saunders;94;81;8
"
                January 11, 2020
                ";93;Re-Enter;-;Jerry Sprunger;Tory Lanez & T-Pain;-;44;5
"
                January 11, 2020
                ";94;Failing;-13;Let Me Know (I Wonder Why Freestyle);Juice WRLD;81;78;3
"
                January 11, 2020
                ";95;Re-Enter;-;Loco Contigo;DJ Snake, J. Balvin & Tyga;-;95;2
"
                January 11, 2020
                ";96;Steady;-;Candy;Doja Cat;96;86;6
"
                January 11, 2020
                ";97;Re-Enter;-;Heartless;Diplo Presents Thomas Wesley Featuring Morgan Wallen;-;78;4
"
                January 11, 2020
                ";98;Re-Enter;-;China;Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin;-;43;18
"
                January 11, 2020
                ";99;New;-;Slow Dance In A Parking Lot;Jordan Davis;-;99;1
"
                January 11, 2020
                ";100;New;-;July;Noah Cyrus & Leon Bridges;-;100;1
"
                January 18, 2020
                ";1;Rising;+2;The Box;Roddy Ricch;3;1;5
"
                January 18, 2020
                ";2;New;-;Yummy;Justin Bieber;-;2;1
"
                January 18, 2020
                ";3;Failing;-2;Circles;Post Malone;1;1;19
"
                January 18, 2020
                ";4;Failing;-2;Memories;Maroon 5;2;2;16
"
                January 18, 2020
                ";5;Rising;+4;10,000 Hours;Dan + Shay & Justin Bieber;9;4;14
"
                January 18, 2020
                ";6;Failing;-2;Someone You Loved;Lewis Capaldi;4;1;35
"
                January 18, 2020
                ";7;Steady;-;Dance Monkey;Tones And I;7;7;14
"
                January 18, 2020
                ";8;Failing;-2;Good As Hell;Lizzo;6;3;20
"
                January 18, 2020
                ";9;Failing;-4;Roxanne;Arizona Zervas;5;4;10
"
                January 18, 2020
                ";10;Steady;-;Lose You To Love Me;Selena Gomez;10;1;12
"
                January 18, 2020
                ";11;Rising;+1;Ballin';Mustard & Roddy Ricch;12;11;25
"
                January 18, 2020
                ";12;Rising;+1;BOP;DaBaby;13;11;15
"
                January 18, 2020
                ";13;Failing;-5;HIGHEST IN THE ROOM;Travis Scott;8;1;14
"
                January 18, 2020
                ";14;Rising;+7;Don't Start Now;Dua Lipa;21;14;10
"
                January 18, 2020
                ";15;Rising;+1;No Guidance;Chris Brown Featuring Drake;16;5;31
"
                January 18, 2020
                ";16;Rising;+3;Trampoline;SHAED;19;13;32
"
                January 18, 2020
                ";17;Rising;+3;Heartless;The Weeknd;20;1;7
"
                January 18, 2020
                ";18;Failing;-7;Senorita;Shawn Mendes & Camila Cabello;11;1;29
"
                January 18, 2020
                ";19;Rising;+4;Everything I Wanted;Billie Eilish;23;8;9
"
                January 18, 2020
                ";20;Failing;-2;Truth Hurts;Lizzo;18;1;36
"
                January 18, 2020
                ";21;Rising;+3;Hot;Young Thug Featuring Gunna;24;11;21
"
                January 18, 2020
                ";22;Rising;+5;Woah;Lil Baby;27;16;9
"
                January 18, 2020
                ";23;Failing;-6;Panini;Lil Nas X;17;5;29
"
                January 18, 2020
                ";24;Rising;+11;Adore You;Harry Styles;35;24;5
"
                January 18, 2020
                ";25;Steady;-;Only Human;Jonas Brothers;25;18;29
"
                January 18, 2020
                ";26;Rising;+10;The Bones;Maren Morris;36;26;16
"
                January 18, 2020
                ";27;Failing;-1;One Man Band;Old Dominion;26;20;20
"
                January 18, 2020
                ";28;Failing;-6;Bandit;Juice WRLD & YoungBoy Never Broke Again;22;10;14
